date,description,amount,transaction type,source_category,account name,month,category
09/02/2018 00:00,Barbershop,30,debit,Haircut,Platinum Card,2018-02,health_fitness
09/02/2018 00:00,Spotify,10.69,debit,Music,Platinum Card,2018-02,subscriptions
10/02/2018 00:00,Bojangles,10.66,debit,Fast Food,Platinum Card,2018-02,eating_out
11/02/2018 00:00,Fancy Restaurant,106.8,debit,Restaurants,Platinum Card,2018-02,eating_out
12/02/2018 00:00,Shell,36.47,debit,Gas & Fuel,Silver Card,2018-02,transport
12/02/2018 00:00,Phone Company,89.52,debit,Mobile Phone,Checking,2018-02,bills
14/02/2018 00:00,Brewing Company,14,debit,Alcohol & Bars,Silver Card,2018-02,entertainment
15/02/2018 00:00,American Tavern,10,debit,Restaurants,Platinum Card,2018-02,eating_out
15/02/2018 00:00,Power Company,60,debit,Utilities,Checking,2018-02,bills
16/02/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-02,income
16/02/2018 00:00,Brunch Restaurant,8,debit,Restaurants,Silver Card,2018-02,eating_out
16/02/2018 00:00,City Water Charges,35,debit,Utilities,Checking,2018-02,bills
20/02/2018 00:00,Grocery Store,35.95,debit,Groceries,Silver Card,2018-02,groceries
20/02/2018 00:00,Mexican Restaurant,23.51,debit,Restaurants,Silver Card,2018-02,eating_out
21/02/2018 00:00,Starbucks,2,debit,Coffee Shops,Platinum Card,2018-02,eating_out
22/02/2018 00:00,Starbucks,4,debit,Coffee Shops,Silver Card,2018-02,eating_out
26/02/2018 00:00,Credit Card Payment,765.37,credit,Credit Card Payment,Platinum Card,2018-02,bills
26/02/2018 00:00,Credit Card Payment,156.11,credit,Credit Card Payment,Silver Card,2018-02,bills
26/02/2018 00:00,Credit Card Payment,765.37,debit,Credit Card Payment,Checking,2018-02,bills
26/02/2018 00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-02,bills
26/02/2018 00:00,American Tavern,85.52,debit,Restaurants,Silver Card,2018-02,eating_out
26/02/2018 00:00,Gas Station,32.21,debit,Gas & Fuel,Silver Card,2018-02,transport
27/02/2018 00:00,Credit Card Payment,156.11,debit,Credit Card Payment,Checking,2018-02,bills
01/03/2018 00:00,Grocery Store,32.07,debit,Groceries,Silver Card,2018-03,groceries
01/03/2018 00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-03,shopping
02/03/2018 00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-03,bills
02/03/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-03,income
03/03/2018 00:00,Grocery Store,23.74,debit,Groceries,Silver Card,2018-03,groceries
04/03/2018 00:00,Grocery Store,10.69,debit,Groceries,Platinum Card,2018-03,groceries
04/03/2018 00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-03,entertainment
04/03/2018 00:00,BBQ Restaurant,42.24,debit,Restaurants,Platinum Card,2018-03,eating_out
05/03/2018 00:00,Starbucks,3,debit,Coffee Shops,Platinum Card,2018-03,eating_out
05/03/2018 00:00,Credit Card Payment,761.59,credit,Credit Card Payment,Silver Card,2018-03,bills
05/03/2018 00:00,Credit Card Payment,761.59,debit,Credit Card Payment,Checking,2018-03,bills
07/03/2018 00:00,Starbucks,3.5,debit,Coffee Shops,Platinum Card,2018-03,eating_out
08/03/2018 00:00,BP,34.9,debit,Gas & Fuel,Platinum Card,2018-03,transport
08/03/2018 00:00,Gas Company,52,debit,Utilities,Checking,2018-03,bills
09/03/2018 00:00,Grocery Store,20.72,debit,Groceries,Platinum Card,2018-03,groceries
09/03/2018 00:00,Grocery Store,5.09,debit,Groceries,Platinum Card,2018-03,groceries
09/03/2018 00:00,Spotify,10.69,debit,Music,Platinum Card,2018-03,subscriptions
12/03/2018 00:00,Grocery Store,19.35,debit,Groceries,Platinum Card,2018-03,groceries
12/03/2018 00:00,Phone Company,89.52,debit,Mobile Phone,Checking,2018-03,bills
13/03/2018 00:00,Amazon,45.75,debit,Shopping,Platinum Card,2018-03,shopping
14/03/2018 00:00,Grocery Store,22.5,debit,Groceries,Platinum Card,2018-03,groceries
14/03/2018 00:00,Brunch Restaurant,8.49,debit,Restaurants,Platinum Card,2018-03,eating_out
15/03/2018 00:00,Starbucks,3.5,debit,Coffee Shops,Platinum Card,2018-03,eating_out
15/03/2018 00:00,Power Company,60,debit,Utilities,Checking,2018-03,bills
16/03/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-03,income
17/03/2018 00:00,Brewing Company,19.5,debit,Alcohol & Bars,Silver Card,2018-03,entertainment
17/03/2018 00:00,Pizza Place,23.34,debit,Fast Food,Platinum Card,2018-03,eating_out
19/03/2018 00:00,Mediterranean Restaurant,36.48,debit,Restaurants,Silver Card,2018-03,eating_out
19/03/2018 00:00,City Water Charges,35,debit,Utilities,Checking,2018-03,bills
20/03/2018 00:00,Amazon,14.97,debit,Shopping,Platinum Card,2018-03,shopping
22/03/2018 00:00,BP,30.55,debit,Gas & Fuel,Silver Card,2018-03,transport
23/03/2018 00:00,Credit Card Payment,559.91,credit,Credit Card Payment,Platinum Card,2018-03,bills
23/03/2018 00:00,Credit Card Payment,559.91,debit,Credit Card Payment,Checking,2018-03,bills
23/03/2018 00:00,Grocery Store,11.76,debit,Groceries,Silver Card,2018-03,groceries
26/03/2018 00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-03,bills
28/03/2018 00:00,Grocery Store,16.06,debit,Groceries,Silver Card,2018-03,groceries
28/03/2018 00:00,Pizza Place,24.98,debit,Restaurants,Silver Card,2018-03,eating_out
29/03/2018 00:00,Steakhouse,17.64,debit,Restaurants,Silver Card,2018-03,eating_out
30/03/2018 00:00,Grocery Store,9.09,debit,Groceries,Silver Card,2018-03,groceries
30/03/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-03,income
31/03/2018 00:00,Belgian Restaurant,38.32,debit,Restaurants,Platinum Card,2018-03,eating_out
31/03/2018 00:00,Chili's,24.74,debit,Restaurants,Platinum Card,2018-03,eating_out
31/03/2018 00:00,Greek Restaurant,41.16,debit,Restaurants,Silver Card,2018-03,eating_out
01/04/2018 00:00,Grocery Store,80.79,debit,Groceries,Platinum Card,2018-04,groceries
01/04/2018 00:00,Brewing Company,59.48,debit,Restaurants,Platinum Card,2018-04,eating_out
01/04/2018 00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-04,shopping
02/04/2018 00:00,Credit Card Payment,817.14,credit,Credit Card Payment,Silver Card,2018-04,bills
02/04/2018 00:00,Credit Card Payment,817.14,debit,Credit Card Payment,Checking,2018-04,bills
02/04/2018 00:00,Grocery Store,82.36,debit,Groceries,Platinum Card,2018-04,groceries
02/04/2018 00:00,Hardware Store,13.89,debit,Home Improvement,Platinum Card,2018-04,shopping
02/04/2018 00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-04,bills
03/04/2018 00:00,Amazon Video,6.41,debit,Movies & Dvds,Platinum Card,2018-04,entertainment
04/04/2018 00:00,Credit Card Payment,363.08,credit,Credit Card Payment,Platinum Card,2018-04,bills
04/04/2018 00:00,Credit Card Payment,363.08,debit,Credit Card Payment,Checking,2018-04,bills
04/04/2018 00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-04,entertainment
06/04/2018 00:00,Chevron,4.58,debit,Gas & Fuel,Platinum Card,2018-04,transport
06/04/2018 00:00,Tiny Deli,9.76,debit,Restaurants,Platinum Card,2018-04,eating_out
08/04/2018 00:00,Irish Pub,22,debit,Restaurants,Platinum Card,2018-04,eating_out
09/04/2018 00:00,Blue Sky Market,6.48,debit,Groceries,Silver Card,2018-04,groceries
09/04/2018 00:00,Spotify,10.69,debit,Music,Platinum Card,2018-04,subscriptions
09/04/2018 00:00,Gas Company,30,debit,Utilities,Checking,2018-04,bills
11/04/2018 00:00,Phone Company,89.52,debit,Mobile Phone,Checking,2018-04,bills
12/04/2018 00:00,Starbucks,7,debit,Coffee Shops,Platinum Card,2018-04,eating_out
12/04/2018 00:00,Barbershop,30,debit,Haircut,Platinum Card,2018-04,health_fitness
13/04/2018 00:00,BP,37.98,debit,Gas & Fuel,Platinum Card,2018-04,transport
13/04/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-04,income
13/04/2018 00:00,American Tavern,10.66,debit,Restaurants,Platinum Card,2018-04,eating_out
14/04/2018 00:00,Hardware Store,11.61,debit,Home Improvement,Platinum Card,2018-04,shopping
14/04/2018 00:00,American Tavern,41,debit,Restaurants,Platinum Card,2018-04,eating_out
16/04/2018 00:00,State Farm,75,debit,Auto Insurance,Checking,2018-04,bills
16/04/2018 00:00,City Water Charges,35,debit,Utilities,Checking,2018-04,bills
18/04/2018 00:00,Power Company,60,debit,Utilities,Checking,2018-04,bills
20/04/2018 00:00,Thai Restaurant,24.22,debit,Restaurants,Silver Card,2018-04,eating_out
21/04/2018 00:00,Grocery Store,4.32,debit,Groceries,Silver Card,2018-04,groceries
21/04/2018 00:00,American Tavern,35.15,debit,Restaurants,Silver Card,2018-04,eating_out
22/04/2018 00:00,Grocery Store,21.32,debit,Groceries,Platinum Card,2018-04,groceries
23/04/2018 00:00,Hardware Store,42.7,debit,Home Improvement,Silver Card,2018-04,shopping
24/04/2018 00:00,Hardware Store,224.7,debit,Home Improvement,Platinum Card,2018-04,shopping
24/04/2018 00:00,Amazon,41.34,debit,Shopping,Platinum Card,2018-04,shopping
25/04/2018 00:00,Hardware Store,210.79,debit,Home Improvement,Silver Card,2018-04,shopping
25/04/2018 00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-04,bills
26/04/2018 00:00,Credit Card Payment,769.72,credit,Credit Card Payment,Silver Card,2018-04,bills
26/04/2018 00:00,Credit Card Payment,1216.94,credit,Credit Card Payment,Platinum Card,2018-04,bills
26/04/2018 00:00,Credit Card Payment,1216.94,debit,Credit Card Payment,Checking,2018-04,bills
27/04/2018 00:00,Credit Card Payment,769.72,debit,Credit Card Payment,Checking,2018-04,bills
27/04/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-04,income
28/04/2018 00:00,Grocery Store,22.98,debit,Groceries,Silver Card,2018-04,groceries
29/04/2018 00:00,QuikTrip,39,debit,Gas & Fuel,Platinum Card,2018-04,transport
29/04/2018 00:00,Grocery Store,51.05,debit,Groceries,Platinum Card,2018-04,groceries
29/04/2018 00:00,Hardware Store,68.47,debit,Home Improvement,Platinum Card,2018-04,shopping
30/04/2018 00:00,Grocery Store,5.09,debit,Groceries,Platinum Card,2018-04,groceries
01/05/2018 00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-05,shopping
02/05/2018 00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-05,bills
03/05/2018 00:00,Amazon,49.72,debit,Shopping,Platinum Card,2018-05,shopping
04/05/2018 00:00,Grocery Store,42.23,debit,Groceries,Platinum Card,2018-05,groceries
04/05/2018 00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-05,entertainment
05/05/2018 00:00,Bojangles,7.27,debit,Fast Food,Platinum Card,2018-05,eating_out
05/05/2018 00:00,Pizza Place,20.52,debit,Fast Food,Platinum Card,2018-05,eating_out
06/05/2018 00:00,Hardware Store,22.37,debit,Home Improvement,Platinum Card,2018-05,shopping
06/05/2018 00:00,Amazon,117.69,debit,Shopping,Platinum Card,2018-05,shopping
09/05/2018 00:00,Credit Card Payment,601.4,credit,Credit Card Payment,Platinum Card,2018-05,bills
09/05/2018 00:00,Credit Card Payment,601.4,debit,Credit Card Payment,Checking,2018-05,bills
09/05/2018 00:00,Spotify,10.69,debit,Music,Platinum Card,2018-05,subscriptions
09/05/2018 00:00,Gas Company,30,debit,Utilities,Checking,2018-05,bills
10/05/2018 00:00,Phone Company,111.18,debit,Mobile Phone,Checking,2018-05,bills
11/05/2018 00:00,Grocery Store,57.32,debit,Groceries,Platinum Card,2018-05,groceries
11/05/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-05,income
11/05/2018 00:00,Mike's Construction Co.,8000,debit,Home Improvement,Checking,2018-05,shopping
12/05/2018 00:00,Liquor Store,27.77,debit,Alcohol & Bars,Platinum Card,2018-05,entertainment
12/05/2018 00:00,Shell,33.3,debit,Gas & Fuel,Platinum Card,2018-05,transport
12/05/2018 00:00,Fancy Restaurant,78,debit,Restaurants,Platinum Card,2018-05,eating_out
14/05/2018 00:00,Grocery Store,67.63,debit,Groceries,Silver Card,2018-05,groceries
15/05/2018 00:00,Power Company,60,debit,Utilities,Checking,2018-05,bills
17/05/2018 00:00,Barbershop,29,debit,Haircut,Silver Card,2018-05,health_fitness
17/05/2018 00:00,City Water Charges,35,debit,Utilities,Checking,2018-05,bills
18/05/2018 00:00,State Farm,75,debit,Auto Insurance,Checking,2018-05,bills
18/05/2018 00:00,Amazon,6.41,debit,Shopping,Platinum Card,2018-05,shopping
19/05/2018 00:00,Credit Card Payment,207.08,credit,Credit Card Payment,Platinum Card,2018-05,bills
19/05/2018 00:00,Grocery Store,31,debit,Groceries,Silver Card,2018-05,groceries
19/05/2018 00:00,Greek Restaurant,23.26,debit,Restaurants,Silver Card,2018-05,eating_out
21/05/2018 00:00,Credit Card Payment,283.07,credit,Credit Card Payment,Silver Card,2018-05,bills
21/05/2018 00:00,Thai Restaurant,26.04,debit,Restaurants,Silver Card,2018-05,eating_out
21/05/2018 00:00,Amazon,32.5,debit,Shopping,Platinum Card,2018-05,shopping
22/05/2018 00:00,Credit Card Payment,283.07,debit,Credit Card Payment,Checking,2018-05,bills
24/05/2018 00:00,BP,39.44,debit,Gas & Fuel,Silver Card,2018-05,transport
25/05/2018 00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-05,bills
25/05/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-05,income
28/05/2018 00:00,Movie Theater,9.62,debit,Entertainment,Silver Card,2018-05,entertainment
28/05/2018 00:00,Grocery Store,91.03,debit,Groceries,Silver Card,2018-05,groceries
29/05/2018 00:00,Movie Theater,20,debit,Movies & Dvds,Silver Card,2018-05,entertainment
29/05/2018 00:00,Movie Theater,6.25,debit,Movies & Dvds,Silver Card,2018-05,entertainment
01/06/2018 00:00,BP,38.63,debit,Gas & Fuel,Platinum Card,2018-06,transport
01/06/2018 00:00,Grocery Store,6.11,debit,Groceries,Platinum Card,2018-06,groceries
01/06/2018 00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-06,shopping
02/06/2018 00:00,Credit Card Payment,235.18,credit,Credit Card Payment,Silver Card,2018-06,bills
02/06/2018 00:00,Credit Card Payment,466.36,credit,Credit Card Payment,Platinum Card,2018-06,bills
03/06/2018 00:00,Italian Restaurant,65.81,debit,Restaurants,Platinum Card,2018-06,eating_out
04/06/2018 00:00,Credit Card Payment,235.18,debit,Credit Card Payment,Checking,2018-06,bills
04/06/2018 00:00,Grocery Store,24.12,debit,Groceries,Platinum Card,2018-06,groceries
04/06/2018 00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-06,bills
04/06/2018 00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-06,entertainment
06/06/2018 00:00,Starbucks,4,debit,Coffee Shops,Platinum Card,2018-06,eating_out
08/06/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-06,income
08/06/2018 00:00,Gas Company,30,debit,Utilities,Checking,2018-06,bills
09/06/2018 00:00,Chick-Fil-A,16.18,debit,Fast Food,Platinum Card,2018-06,eating_out
09/06/2018 00:00,Grocery Store,9.56,debit,Groceries,Platinum Card,2018-06,groceries
09/06/2018 00:00,Spotify,10.69,debit,Music,Platinum Card,2018-06,subscriptions
10/06/2018 00:00,Grocery Store,46.01,debit,Groceries,Platinum Card,2018-06,groceries
12/06/2018 00:00,Grocery Store,12.55,debit,Groceries,Platinum Card,2018-06,groceries
12/06/2018 00:00,Phone Company,89.46,debit,Mobile Phone,Checking,2018-06,bills
14/06/2018 00:00,Credit Card Payment,283.44,credit,Credit Card Payment,Platinum Card,2018-06,bills
14/06/2018 00:00,Credit Card Payment,283.44,debit,Credit Card Payment,Checking,2018-06,bills
14/06/2018 00:00,Grocery Store,7.02,debit,Groceries,Platinum Card,2018-06,groceries
15/06/2018 00:00,Power Company,60,debit,Utilities,Checking,2018-06,bills
16/06/2018 00:00,Starbucks,3,debit,Coffee Shops,Platinum Card,2018-06,eating_out
16/06/2018 00:00,Pizza Place,22.66,debit,Fast Food,Platinum Card,2018-06,eating_out
16/06/2018 00:00,Grocery Store,13.9,debit,Groceries,Platinum Card,2018-06,groceries
18/06/2018 00:00,City Water Charges,35,debit,Utilities,Checking,2018-06,bills
19/06/2018 00:00,Shell,38.52,debit,Gas & Fuel,Platinum Card,2018-06,transport
19/06/2018 00:00,Grocery Store,2.69,debit,Groceries,Platinum Card,2018-06,groceries
20/06/2018 00:00,State Farm,75,debit,Auto Insurance,Checking,2018-06,bills
20/06/2018 00:00,Credit Card Payment,89.45,credit,Credit Card Payment,Silver Card,2018-06,bills
20/06/2018 00:00,Barbershop,30,debit,Haircut,Silver Card,2018-06,health_fitness
21/06/2018 00:00,Credit Card Payment,89.45,debit,Credit Card Payment,Checking,2018-06,bills
22/06/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-06,income
23/06/2018 00:00,Brunch Restaurant,8.5,debit,Restaurants,Silver Card,2018-06,eating_out
23/06/2018 00:00,Amazon,74.97,debit,Shopping,Platinum Card,2018-06,shopping
25/06/2018 00:00,Credit Card Payment,942.76,credit,Credit Card Payment,Platinum Card,2018-06,bills
25/06/2018 00:00,Credit Card Payment,942.76,debit,Credit Card Payment,Checking,2018-06,bills
25/06/2018 00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-06,bills
26/06/2018 00:00,Grocery Store,9.62,debit,Groceries,Silver Card,2018-06,groceries
27/06/2018 00:00,Starbucks,3.5,debit,Coffee Shops,Silver Card,2018-06,eating_out
27/06/2018 00:00,Pizza Place,22.66,debit,Fast Food,Platinum Card,2018-06,eating_out
28/06/2018 00:00,Grocery Store,7.57,debit,Groceries,Silver Card,2018-06,groceries
01/07/2018 00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-07,shopping
02/07/2018 00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-07,bills
02/07/2018 00:00,Movie Theater,25,debit,Movies & Dvds,Silver Card,2018-07,entertainment
02/07/2018 00:00,American Tavern,36.44,debit,Restaurants,Silver Card,2018-07,eating_out
04/07/2018 00:00,BP,34.48,debit,Gas & Fuel,Silver Card,2018-07,transport
04/07/2018 00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-07,entertainment
05/07/2018 00:00,Grocery Store,44.25,debit,Groceries,Silver Card,2018-07,groceries
05/07/2018 00:00,Amazon,212.32,debit,Shopping,Platinum Card,2018-07,shopping
06/07/2018 00:00,Amazon Video,6.41,debit,Movies & Dvds,Platinum Card,2018-07,entertainment
06/07/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-07,income
08/07/2018 00:00,Credit Card Payment,259.87,credit,Credit Card Payment,Platinum Card,2018-07,bills
09/07/2018 00:00,Credit Card Payment,242.16,credit,Credit Card Payment,Silver Card,2018-07,bills
09/07/2018 00:00,Credit Card Payment,259.87,debit,Credit Card Payment,Checking,2018-07,bills
09/07/2018 00:00,Spotify,10.69,debit,Music,Platinum Card,2018-07,subscriptions
10/07/2018 00:00,Credit Card Payment,242.16,debit,Credit Card Payment,Checking,2018-07,bills
10/07/2018 00:00,Grocery Store,5.39,debit,Groceries,Silver Card,2018-07,groceries
10/07/2018 00:00,Gas Company,30,debit,Utilities,Checking,2018-07,bills
11/07/2018 00:00,Phone Company,89.46,debit,Mobile Phone,Checking,2018-07,bills
14/07/2018 00:00,Go Mart,33.51,debit,Gas & Fuel,Silver Card,2018-07,transport
15/07/2018 00:00,Circle K,36.24,debit,Gas & Fuel,Platinum Card,2018-07,transport
17/07/2018 00:00,Wendy's,15.23,debit,Fast Food,Silver Card,2018-07,eating_out
17/07/2018 00:00,City Water Charges,35,debit,Utilities,Checking,2018-07,bills
17/07/2018 00:00,Power Company,60,debit,Utilities,Checking,2018-07,bills
18/07/2018 00:00,Irish Restaurant,28.54,debit,Alcohol & Bars,Platinum Card,2018-07,entertainment
18/07/2018 00:00,State Farm,75,debit,Auto Insurance,Checking,2018-07,bills
20/07/2018 00:00,Credit Card Payment,61.43,credit,Credit Card Payment,Silver Card,2018-07,bills
20/07/2018 00:00,Credit Card Payment,102.88,credit,Credit Card Payment,Platinum Card,2018-07,bills
20/07/2018 00:00,Credit Card Payment,102.88,debit,Credit Card Payment,Checking,2018-07,bills
20/07/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-07,income
21/07/2018 00:00,Grocery Store,28.93,debit,Groceries,Platinum Card,2018-07,groceries
21/07/2018 00:00,Barbershop,30,debit,Haircut,Platinum Card,2018-07,health_fitness
23/07/2018 00:00,Credit Card Payment,61.43,debit,Credit Card Payment,Checking,2018-07,bills
23/07/2018 00:00,Starbucks,9.58,debit,Fast Food,Platinum Card,2018-07,eating_out
24/07/2018 00:00,American Tavern,26.59,debit,Restaurants,Platinum Card,2018-07,eating_out
25/07/2018 00:00,Internet Service Provider,74.99,debit,Internet,Checking,2018-07,bills
26/07/2018 00:00,Conoco,33.67,debit,Gas & Fuel,Silver Card,2018-07,transport
28/07/2018 00:00,Grocery Store,7.61,debit,Groceries,Silver Card,2018-07,groceries
30/07/2018 00:00,American Tavern,34.38,debit,Restaurants,Silver Card,2018-07,eating_out
31/07/2018 00:00,Brewing Company,6.6,debit,Alcohol & Bars,Silver Card,2018-07,entertainment
01/08/2018 00:00,Amazon,13.13,debit,Shopping,Platinum Card,2018-08,shopping
02/08/2018 00:00,Credit Card Payment,816.27,credit,Credit Card Payment,Platinum Card,2018-08,bills
02/08/2018 00:00,Shell,40.44,debit,Gas & Fuel,Silver Card,2018-08,transport
02/08/2018 00:00,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-08,bills
03/08/2018 00:00,Grocery Store,6.27,debit,Groceries,Silver Card,2018-08,groceries
03/08/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-08,income
04/08/2018 00:00,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-08,entertainment
06/08/2018 00:00,Amazon,76.47,debit,Shopping,Platinum Card,2018-08,shopping
09/08/2018 00:00,Spotify,10.69,debit,Music,Platinum Card,2018-08,subscriptions
09/08/2018 00:00,Gas Company,30,debit,Utilities,Checking,2018-08,bills
10/08/2018 00:00,Phone Company,89.4,debit,Mobile Phone,Checking,2018-08,bills
11/08/2018 00:00,Chick-Fil-A,13.67,debit,Fast Food,Platinum Card,2018-08,eating_out
11/08/2018 00:00,Valero,33.66,debit,Gas & Fuel,Platinum Card,2018-08,transport
15/08/2018 00:00,Credit Card Payment,269.56,credit,Credit Card Payment,Silver Card,2018-08,bills
15/08/2018 00:00,Credit Card Payment,159.38,credit,Credit Card Payment,Platinum Card,2018-08,bills
15/08/2018 00:00,Shell,41.07,debit,Gas & Fuel,Platinum Card,2018-08,transport
15/08/2018 00:00,Grocery Store,5.64,debit,Groceries,Platinum Card,2018-08,groceries
15/08/2018 00:00,Power Company,60,debit,Utilities,Checking,2018-08,bills
16/08/2018 00:00,Credit Card Payment,269.56,debit,Credit Card Payment,Checking,2018-08,bills
16/08/2018 00:00,City Water Charges,35,debit,Utilities,Checking,2018-08,bills
17/08/2018 00:00,Biweekly Paycheck,2000,credit,Paycheck,Checking,2018-08,income
17/08/2018 00:00,Amazon,14.98,debit,Shopping,Platinum Card,2018-08,shopping
18/08/2018 00:00,Amazon,23.47,debit,Shopping,Platinum Card,2018-08,shopping
