date,description,amount,category
2026-01-20,BOOTS * UK * CAMDEN * REF * 844584,-49.84,shopping
2026-05-16,DENTAL  PRACTICE  LONDON,-114.29,health_fitness
2026-03-06,FREELANCE PAYMENT BIRMINGHAM REF 87181,753.09,income
2026-03-16,asda groceries,-27.83,groceries
2026-03-14,SALARY  PAYMENT  OXFORD  ST  REF  777043,1611.1,income
2026-03-15,BOOTS *  * UK *  * REF *  * 292636,-72.23,shopping
2026-06-16,h&m clothing ref 939756,-141.51,shopping
2026-04-20,edf  energy  bill  oxford  st  ref  54190,-33.34,bills
2026-06-02,amazon  marketplace  oxford  st  ref  937389,-40.38,shopping
2026-02-05,SPORTS MASSAGE CLINIC ONLINE REF 76548,-88.3,health_fitness
2026-06-16,LIDL GB CAMDEN REF 781879,-76.94,groceries
2026-02-07,VISION  EXPRESS  REF  736473,-23.19,health_fitness
2026-03-07,PHARMACY PRESCRIPTION REF 360462,-23.21,health_fitness
2026-03-13,STEAM GAMES ONLINE REF 688919,-47.66,entertainment
2026-06-12,john lewis online ref 193461 card payment,-38.87,shopping
2026-04-13,tesco store london,-94.88,groceries
2026-03-17,ALDI  STORE  OXFORD  ST  REF  958860 CARD PAYMENT,-92.16,groceries
2026-01-17,SPORTS MASSAGE CLINIC LONDON REF 12430 CARD PAYMENT,-31.75,health_fitness
2026-02-03,FREELANCE PAYMENT REF 745971,2651.33,income
2026-04-17,PUREGYM *  * MEMBERSHIP *  * UK,-63.83,health_fitness
2026-02-10,CAFFE  NERO  VICTORIA,-9.02,eating_out
2026-02-18,argos *  * camden * card * payment,-121.09,shopping
2026-01-14,JOHN *  * LEWIS *  * ONLINE *  * UK,-96.53,shopping
2026-04-17,uber *  * eats *  * birmingham *  * ref *  * 832627 * card * payment,-20.71,eating_out
2026-05-26,NEXT * RETAIL * UK * REF * 25368 * CARD * PAYMENT,-159.14,shopping
2026-03-20,BOOTS UK,-68.59,shopping
2026-03-12,NETFLIX.COM OXFORD ST,-11.42,subscriptions
2026-04-29,NEXT  RETAIL  ONLINE CARD PAYMENT,-80.31,shopping
2026-04-05,JOHN LEWIS ONLINE MANCHESTER CARD PAYMENT,-92.92,shopping
2026-05-20,REFUND *  * AMAZON,1928.67,income
2026-01-15,spotify uk online,-3.06,subscriptions
2026-02-09,asda groceries manchester,-9.77,groceries
2026-06-06,nandos * london,-55.69,eating_out
2026-01-26,PRET A MANGER,-53.31,eating_out
2026-06-24,REFUND AMAZON LONDON,1528.69,income
2026-05-16,VIRGIN  MEDIA  BILL  REF  196472,-31.16,bills
2026-06-20,h&m clothing ref 202485 card payment,-135.31,shopping
2026-03-15,SPORTS *  * MASSAGE *  * CLINIC *  * MANCHESTER * CARD * PAYMENT,-14.73,health_fitness
2026-01-23,REFUND AMAZON UK REF 825558,129.69,income
2026-04-19,EE MOBILE,-95.43,bills
2026-06-27,PUREGYM MEMBERSHIP UK,-103.42,health_fitness
2026-05-07,odeon cinema card payment,-82.74,entertainment
2026-01-11,VISION EXPRESS OXFORD ST REF 775879,-83.67,health_fitness
2026-01-11,COUNCIL TAX PAYMENT LONDON REF 474546,-108.37,bills
2026-05-14,BOWLING LONDON OXFORD ST,-9.32,entertainment
2026-05-29,BONUS * PAYMENT,2275.03,income
2026-05-05,NEXT RETAIL CARD PAYMENT,-126.41,shopping
2026-01-02,TESCO STORE LONDON LONDON,-32.2,groceries
2026-03-11,ticketmaster  uk  online  ref  787343,-82.76,entertainment
2026-01-04,TICKETMASTER UK BIRMINGHAM REF 304858,-88.98,entertainment
2026-05-02,SPORTS *  * MASSAGE *  * CLINIC *  * MANCHESTER *  * REF *  * 919758 * CARD * PAYMENT,-35.68,health_fitness
2026-02-22,TESCO STORE LONDON ONLINE REF 161227 CARD PAYMENT,-44.17,groceries
2026-06-27,APPLE ICLOUD BIRMINGHAM REF 690461,-29.43,subscriptions
2026-03-31,SPORTS MASSAGE CLINIC BIRMINGHAM CARD PAYMENT,-61.43,health_fitness
2026-05-20,TESCO STORE LONDON ONLINE REF 139890,-21.72,groceries
2026-05-27,nandos london card payment,-57.46,eating_out
2026-05-28,VISION EXPRESS REF 629204 CARD PAYMENT,-9.5,health_fitness
2026-02-17,disney plus camden card payment,-8.01,subscriptions
2026-01-03,AMAZON PRIME UK REF 929325,-11.4,subscriptions
2026-01-21,go ape activity camden ref 92083,-42.14,entertainment
2026-03-19,interest paid card payment,88.75,income
2026-02-27,BP FUEL BIRMINGHAM REF 955951,-14.66,transport
2026-05-14,UBER *  * EATS *  * VICTORIA * CARD * PAYMENT,-54.93,eating_out
2026-06-18,ZIPCAR UK,-20.43,transport
2026-03-04,john *  * lewis *  * online *  * victoria *  * ref *  * 20570,-128.01,shopping
2026-06-26,WAGAMAMA,-46.13,eating_out
2026-05-26,STARBUCKS COFFEE REF 46976,-48.79,eating_out
2026-05-11,UBER TRIP HELP.UBER.COM UK,-40.28,transport
2026-01-02,pharmacy * prescription * card * payment,-100.61,health_fitness
2026-06-18,ee *  * mobile *  * ref *  * 996889,-76.95,bills
2026-05-17,ZIPCAR UK,-7.56,transport
2026-06-06,AUDIBLE UK CAMDEN,-23.82,subscriptions
2026-03-17,SKY STORE MOVIE REF 148247,-25.92,entertainment
2026-01-31,NETFLIX.COM  ONLINE,-10.23,subscriptions
2026-02-01,MORRISONS  MANCHESTER,-56.49,groceries
2026-03-22,waitrose *  * supermarket,-88.14,groceries
2026-05-12,HOLLAND *  * AND *  * BARRETT *  * OXFORD *  * ST,-14.75,health_fitness
2026-06-07,morrisons manchester,-51.83,groceries
2026-02-14,SALARY  PAYMENT  LONDON  REF  404443,212.82,income
2026-04-18,TFL TRAVEL CHARGE REF 690233,-73.78,transport
2026-02-11,BONUS PAYMENT OXFORD ST REF 631553,2551.68,income
2026-04-27,BANK TRANSFER RECEIVED ONLINE REF 836998,2070.46,income
2026-03-30,PUREGYM * MEMBERSHIP * UK,-49.8,health_fitness
2026-06-02,PHARMACY  PRESCRIPTION CARD PAYMENT,-56.31,health_fitness
2026-04-20,STARBUCKS COFFEE REF 886194,-36.39,eating_out
2026-03-14,puregym membership ref 712259,-60.22,health_fitness
2026-06-01,ARGOS,-56.62,shopping
2026-03-05,UBER  TRIP  HELP.UBER.COM  UK  REF  67340,-29.0,transport
2026-06-24,BOWLING  LONDON  MANCHESTER  REF  466371 CARD PAYMENT,-92.06,entertainment
2026-05-16,ODEON CINEMA CAMDEN,-81.47,entertainment
2026-01-08,council  tax  payment  online,-48.14,bills
2026-06-10,UBER  TRIP  HELP.UBER.COM  REF  434649 CARD PAYMENT,-68.63,transport
2026-05-19,AMAZON MARKETPLACE,-82.33,shopping
2026-05-19,JOHN LEWIS ONLINE REF 98328,-13.51,shopping
2026-03-27,REFUND * AMAZON * REF * 970461,1600.33,income
2026-02-08,ASDA  GROCERIES  REF  861408,-65.41,groceries
2026-05-01,uber trip help.uber.com online ref 703371 card payment,-26.78,transport
2026-05-17,AUDIBLE UK REF 645328,-2.13,subscriptions
2026-03-18,pharmacy * prescription * ref * 486550,-57.94,health_fitness
2026-01-11,NATIONAL  RAIL  TICKET  OXFORD  ST,-28.31,transport
2026-01-18,UBER EATS UK CARD PAYMENT,-30.11,eating_out
2026-03-23,uber trip help.uber.com card payment,-70.06,transport
2026-02-19,SALARY * PAYMENT * REF * 126497 * CARD * PAYMENT,487.82,income
2026-01-07,DENTAL *  * PRACTICE *  * CAMDEN *  * REF *  * 869034,-21.45,health_fitness
2026-05-23,TESCO  STORE  LONDON  LONDON,-91.29,groceries
2026-04-12,VISION * EXPRESS * VICTORIA * REF * 562109,-110.51,health_fitness
2026-05-31,DISNEY PLUS,-14.9,subscriptions
2026-02-08,GO * APE * ACTIVITY * MANCHESTER * REF * 738661,-68.51,entertainment
2026-03-26,BOOTS UK,-78.11,shopping
2026-06-21,freelance * payment,742.29,income
2026-01-13,WAITROSE SUPERMARKET CAMDEN CARD PAYMENT,-15.91,groceries
2026-03-27,VISION EXPRESS REF 178795 CARD PAYMENT,-13.77,health_fitness
2026-01-12,boots  uk  uk,-62.3,shopping
2026-03-12,sky store movie london ref 377149,-103.58,entertainment
2026-04-27,BONUS *  * PAYMENT *  * REF *  * 190517,2406.68,income
2026-04-03,PUREGYM  MEMBERSHIP  VICTORIA  REF  224839 CARD PAYMENT,-112.69,health_fitness
2026-03-22,COUNCIL TAX PAYMENT UK REF 98527,-52.67,bills
2026-02-20,TFL  TRAVEL  CHARGE  ONLINE,-24.25,transport
2026-02-28,BANK TRANSFER RECEIVED,2509.53,income
2026-04-23,wagamama uk,-7.08,eating_out
2026-06-03,BRITISH  GAS  UK  REF  36695 CARD PAYMENT,-154.5,bills
2026-01-12,PRET A MANGER LONDON REF 247249,-52.94,eating_out
2026-06-15,ASDA GROCERIES BIRMINGHAM,-15.34,groceries
2026-04-22,STARBUCKS * COFFEE * REF * 211394 * CARD * PAYMENT,-22.32,eating_out
2026-04-01,ALDI STORE REF 636863,-28.02,groceries
2026-05-18,refund  amazon card payment,121.13,income
2026-04-20,WAITROSE * SUPERMARKET * VICTORIA * REF * 114475,-27.68,groceries
2026-06-12,BOOTS UK REF 271143,-148.41,shopping
2026-04-24,pret  a  manger,-58.6,eating_out
2026-05-21,SPOTIFY * UK * UK * REF * 191167,-29.72,subscriptions
2026-03-19,ZARA ONLINE REF 581990,-127.78,shopping
2026-01-01,BRITISH GAS REF 239161,-72.05,bills
2026-01-21,EE MOBILE VICTORIA REF 193818 CARD PAYMENT,-140.3,bills
2026-05-27,NANDOS LONDON BIRMINGHAM REF 408980 CARD PAYMENT,-45.81,eating_out
2026-03-30,ALDI STORE MANCHESTER REF 695093,-52.57,groceries
2026-06-27,boots pharmacy manchester ref 926473,-89.4,health_fitness
2026-05-22,ALDI STORE BIRMINGHAM CARD PAYMENT,-54.03,groceries
2026-06-06,caffe nero manchester ref 783445,-34.54,eating_out
2026-03-22,SHELL PETROL STATION BIRMINGHAM REF 814894 CARD PAYMENT,-66.78,transport
2026-03-22,EE MOBILE REF 153200,-84.21,bills
2026-03-19,BONUS PAYMENT VICTORIA,1418.59,income
2026-06-07,NATIONAL RAIL TICKET REF 301814,-36.78,transport
2026-05-13,O2 *  * MOBILE *  * BILL *  * LONDON * CARD * PAYMENT,-171.41,bills
2026-05-09,BRITISH  GAS  CAMDEN,-179.38,bills
2026-01-28,BOOTS PHARMACY REF 269422,-94.76,health_fitness
2026-06-19,H&M * CLOTHING * LONDON,-117.01,shopping
2026-05-31,asda groceries london,-90.24,groceries
2026-06-15,SAINSBURYS LOCAL UK,-86.6,groceries
2026-05-29,SALARY  PAYMENT  MANCHESTER  REF  500159,1710.14,income
2026-04-21,lidl gb uk,-11.47,groceries
2026-06-30,refund  amazon  manchester,1046.07,income
2026-03-24,DENTAL PRACTICE MANCHESTER CARD PAYMENT,-20.95,health_fitness
2026-03-25,EE  MOBILE  REF  215498,-100.94,bills
2026-05-03,JOHN LEWIS ONLINE CARD PAYMENT,-47.02,shopping
2026-05-22,BP  FUEL  ONLINE,-36.65,transport
2026-02-25,FREELANCE  PAYMENT  UK  REF  392617,2218.36,income
2026-04-09,H&M CLOTHING CAMDEN REF 648288 CARD PAYMENT,-11.59,shopping
2026-03-16,next * retail,-114.39,shopping
2026-04-28,thames * water * oxford * st,-49.08,bills
2026-05-05,SHELL PETROL STATION CAMDEN,-12.4,transport
2026-01-23,amazon marketplace birmingham,-84.69,shopping
2026-02-24,BOOTS *  * UK *  * REF *  * 225164,-11.8,shopping
2026-05-06,BONUS PAYMENT REF 805390,350.26,income
2026-04-27,NEXT RETAIL OXFORD ST CARD PAYMENT,-25.03,shopping
2026-05-08,O2 * MOBILE * BILL * LONDON,-63.55,bills
2026-02-03,CAFFE NERO BIRMINGHAM,-37.03,eating_out
2026-03-27,VISION EXPRESS OXFORD ST REF 972954,-54.55,health_fitness
2026-06-30,AMAZON * PRIME * UK * REF * 324284,-10.52,subscriptions
2026-01-14,MORRISONS UK REF 221861 CARD PAYMENT,-50.5,groceries
2026-03-22,PUREGYM MEMBERSHIP UK REF 899630,-76.83,health_fitness
2026-05-12,AUDIBLE * UK * CAMDEN,-21.6,subscriptions
2026-05-24,TESCO STORE LONDON OXFORD ST REF 524481,-29.46,groceries
2026-05-29,h&m  clothing  uk  ref  968902,-122.84,shopping
2026-05-02,NANDOS  LONDON  OXFORD  ST CARD PAYMENT,-4.4,eating_out
2026-04-18,SPORTS MASSAGE CLINIC ONLINE REF 515889,-29.18,health_fitness
2026-06-26,LIDL GB BIRMINGHAM,-32.34,groceries
2026-03-09,british gas uk ref 783401,-138.99,bills
2026-03-05,TICKETMASTER  UK  REF  753689,-27.64,entertainment
2026-04-13,NANDOS  LONDON  MANCHESTER,-16.2,eating_out
2026-04-08,EDF  ENERGY  BILL,-84.33,bills
2026-04-16,ODEON CINEMA VICTORIA,-53.99,entertainment
2026-05-23,THEATRE  TICKETS  BIRMINGHAM  REF  85279,-21.18,entertainment
2026-03-13,ODEON * CINEMA,-8.54,entertainment
2026-01-14,ASDA GROCERIES REF 789539,-73.17,groceries
2026-01-17,TRAINLINE ONLINE REF 451418,-61.23,transport
2026-01-03,BOOTS PHARMACY CARD PAYMENT,-24.63,health_fitness
2026-01-27,microsoft 365 uk ref 106885,-25.26,subscriptions
2026-04-16,morrisons,-21.99,groceries
2026-02-09,british gas ref 190592,-47.49,bills
2026-01-24,VISION  EXPRESS  ONLINE  REF  421775,-75.89,health_fitness
2026-02-26,O2  MOBILE  BILL  VICTORIA  REF  203647,-172.28,bills
2026-02-04,APPLE  ICLOUD  VICTORIA,-26.0,subscriptions
2026-02-10,SHELL PETROL STATION REF 908340,-16.67,transport
2026-02-02,tesco store london ref 16582,-31.09,groceries
2026-03-28,ZIPCAR  UK  UK  REF  119118,-4.01,transport
2026-01-02,caffe nero online ref 456342,-39.0,eating_out
2026-05-26,MICROSOFT *  * 365 *  * REF *  * 785229 * CARD * PAYMENT,-4.1,subscriptions
2026-01-08,THEATRE TICKETS UK REF 340818,-12.09,entertainment
2026-03-30,john lewis online,-54.92,shopping
2026-04-19,UBER EATS REF 764209,-13.99,eating_out
2026-01-11,MORRISONS  ONLINE  REF  811004,-57.24,groceries
2026-03-20,BRITISH GAS,-159.01,bills
2026-06-13,UBER TRIP HELP.UBER.COM,-59.18,transport
2026-01-04,BANK TRANSFER RECEIVED REF 264895,1073.2,income
2026-06-04,BANK *  * TRANSFER *  * RECEIVED *  * ONLINE *  * REF *  * 492075,780.78,income
2026-01-26,UBER  TRIP  HELP.UBER.COM  ONLINE,-9.24,transport
2026-04-10,STARBUCKS COFFEE REF 632347,-48.1,eating_out
2026-01-25,ALDI  STORE CARD PAYMENT,-16.07,groceries
2026-04-27,PRET A MANGER VICTORIA REF 192059 CARD PAYMENT,-23.15,eating_out
2026-06-06,COUNCIL TAX PAYMENT LONDON REF 461905,-90.48,bills
2026-04-25,REFUND AMAZON BIRMINGHAM,1169.59,income
2026-01-29,NANDOS  LONDON  BIRMINGHAM CARD PAYMENT,-50.54,eating_out
2026-05-09,HOLLAND AND BARRETT VICTORIA,-106.4,health_fitness
2026-04-30,ZARA ONLINE REF 183112,-21.72,shopping
2026-06-28,NEXT RETAIL BIRMINGHAM CARD PAYMENT,-107.81,shopping
2026-03-04,SPORTS MASSAGE CLINIC REF 504762,-60.07,health_fitness
2026-01-30,NANDOS LONDON REF 443503,-58.24,eating_out
2026-05-31,AMAZON MARKETPLACE BIRMINGHAM REF 320736,-31.32,shopping
2026-04-21,freelance  payment  oxford  st  ref  754788,1795.23,income
2026-06-24,SALARY  PAYMENT,429.42,income
2026-05-24,apple * icloud * uk * ref * 204974,-16.17,subscriptions
2026-02-14,SPOTIFY UK LONDON,-28.19,subscriptions
2026-01-21,ZARA  ONLINE  BIRMINGHAM  REF  809422,-156.12,shopping
2026-06-19,BANK TRANSFER RECEIVED BIRMINGHAM,1642.02,income
2026-04-06,SPOTIFY * UK * CAMDEN * REF * 933786,-9.52,subscriptions
2026-06-02,BP FUEL BIRMINGHAM REF 207647,-49.02,transport
2026-01-14,go ape activity online ref 843377 card payment,-13.17,entertainment
2026-04-17,STEAM GAMES MANCHESTER,-16.27,entertainment
2026-02-26,NEXT RETAIL OXFORD ST REF 216815,-113.1,shopping
2026-02-03,EDF ENERGY BILL BIRMINGHAM REF 977842,-122.1,bills
2026-06-25,CAFFE  NERO,-59.09,eating_out
2026-02-21,STEAM  GAMES,-19.61,entertainment
2026-04-11,national  rail  ticket  victoria,-73.21,transport
2026-05-28,BONUS PAYMENT REF 686362,2641.53,income
2026-01-22,TESCO * STORE * LONDON * REF * 78680,-90.57,groceries
2026-06-14,VISION  EXPRESS  REF  758656,-22.93,health_fitness
2026-02-16,BRITISH GAS LONDON REF 885522 CARD PAYMENT,-109.19,bills
2026-04-11,spotify *  * uk *  * oxford *  * st,-18.04,subscriptions
2026-02-04,NETFLIX.COM,-28.77,subscriptions
2026-02-19,ARGOS LONDON REF 862010 CARD PAYMENT,-35.57,shopping
2026-02-07,AMAZON MARKETPLACE BIRMINGHAM REF 324668,-108.65,shopping
2026-02-08,NEXT * RETAIL,-158.39,shopping
2026-06-23,TFL TRAVEL CHARGE ONLINE REF 544998,-36.34,transport
2026-03-15,SAINSBURYS  LOCAL  UK CARD PAYMENT,-57.52,groceries
2026-05-30,TICKETMASTER UK REF 819805,-44.78,entertainment
2026-02-20,apple *  * icloud *  * online * card * payment,-12.09,subscriptions
2026-01-26,THEATRE TICKETS MANCHESTER REF 34697,-49.37,entertainment
2026-02-03,BOWLING * LONDON * UK,-83.94,entertainment
2026-02-26,BP FUEL,-29.46,transport
2026-02-20,SHELL  PETROL  STATION  ONLINE  REF  823615,-38.52,transport
2026-04-21,thames  water  victoria,-108.8,bills
2026-05-14,tfl travel charge ref 870032,-26.62,transport
2026-03-30,TFL  TRAVEL  CHARGE  CAMDEN  REF  214933 CARD PAYMENT,-74.14,transport
2026-06-23,THAMES WATER UK REF 607005 CARD PAYMENT,-148.12,bills
2026-06-05,STEAM GAMES CARD PAYMENT,-106.07,entertainment
2026-05-20,ALDI STORE ONLINE,-44.99,groceries
2026-02-28,GO  APE  ACTIVITY  LONDON  REF  687398,-9.41,entertainment
2026-01-14,BOOTS PHARMACY CAMDEN REF 917220,-34.84,health_fitness
2026-01-21,INTEREST PAID CARD PAYMENT,1960.42,income
2026-04-18,APPLE * ICLOUD * OXFORD * ST,-18.45,subscriptions
2026-06-04,boots  pharmacy  london,-44.96,health_fitness
2026-03-20,pret a manger ref 156132,-25.04,eating_out
2026-01-31,trainline online ref 140145,-27.74,transport
2026-01-23,UBER  TRIP  HELP.UBER.COM  REF  112726,-10.36,transport
2026-01-18,TICKETMASTER UK BIRMINGHAM REF 326992,-26.07,entertainment
2026-03-26,H&M  CLOTHING  LONDON  REF  965641 CARD PAYMENT,-45.85,shopping
2026-04-24,GO  APE  ACTIVITY,-94.0,entertainment
2026-06-17,LIDL GB MANCHESTER REF 930181 CARD PAYMENT,-29.23,groceries
2026-01-05,UBER TRIP HELP.UBER.COM UK,-37.19,transport
2026-05-17,COUNCIL TAX PAYMENT BIRMINGHAM,-124.17,bills
2026-04-11,edf  energy  bill  ref  672440 card payment,-76.12,bills
2026-04-08,EDF ENERGY BILL MANCHESTER REF 487554,-107.54,bills
2026-06-27,UBER  TRIP  HELP.UBER.COM,-39.48,transport
2026-01-16,UBER * TRIP * HELP.UBER.COM * CARD * PAYMENT,-5.87,transport
2026-01-09,zara * online * oxford * st,-92.94,shopping
2026-06-25,AMAZON  MARKETPLACE  BIRMINGHAM  REF  774644,-72.87,shopping
2026-03-22,netflix.com  camden  ref  247415,-15.96,subscriptions
2026-01-31,pharmacy  prescription  online,-90.4,health_fitness
2026-03-25,ZARA ONLINE BIRMINGHAM CARD PAYMENT,-34.04,shopping
2026-02-08,TFL TRAVEL CHARGE REF 858730,-19.66,transport
2026-02-20,PHARMACY * PRESCRIPTION * REF * 460876,-5.67,health_fitness
2026-05-01,SPOTIFY UK REF 278198 CARD PAYMENT,-12.12,subscriptions
2026-04-08,ASDA GROCERIES CAMDEN,-17.28,groceries
2026-05-24,PHARMACY PRESCRIPTION REF 202019,-102.3,health_fitness
2026-05-15,AUDIBLE UK OXFORD ST CARD PAYMENT,-5.8,subscriptions
2026-05-23,EDF  ENERGY  BILL  ONLINE  REF  199663,-111.56,bills
2026-02-18,WAITROSE * SUPERMARKET * VICTORIA,-57.73,groceries
2026-06-22,LIDL * GB,-47.57,groceries
2026-03-24,DISNEY PLUS UK REF 613353 CARD PAYMENT,-3.12,subscriptions
2026-05-09,STARBUCKS COFFEE CAMDEN REF 488227,-8.99,eating_out
2026-03-12,H&M CLOTHING CARD PAYMENT,-159.27,shopping
2026-04-02,DISNEY  PLUS,-27.24,subscriptions
2026-01-26,DISNEY PLUS VICTORIA,-21.51,subscriptions
2026-02-13,pret a manger camden ref 414869 card payment,-14.94,eating_out
2026-04-10,SPOTIFY UK,-3.88,subscriptions
2026-01-19,AMAZON MARKETPLACE REF 527138,-24.76,shopping
2026-01-12,CASHBACK  REWARD  UK  REF  255948,2856.38,income
2026-06-06,NEXT RETAIL OXFORD ST,-82.68,shopping
2026-06-21,DISNEY  PLUS  MANCHESTER  REF  71634 CARD PAYMENT,-12.0,subscriptions
2026-02-04,tfl travel charge manchester ref 64182 card payment,-32.44,transport
2026-06-21,VIRGIN MEDIA BILL BIRMINGHAM REF 198370,-69.71,bills
2026-06-21,GO  APE  ACTIVITY  REF  168069,-100.85,entertainment
